Pathway,description
ANAGLYCOLYSIS-PWY,"Function: Converts glucose to pyruvate through a series of enzymatic steps generating ATP and NADH; Role in LAB: Provides a primary energy source by metabolizing glucose anaerobically, supporting growth and survival; Probiotic/Food Relevance: Drives fermentation processes, producing acids that influence flavor, texture, and preservation of fermented foods."
ARGSYNBSUB-PWY,"Function: Synthesizes L-arginine from glutamate via the acetyl cycle pathway; Role in LAB: Enables production of arginine, supporting protein synthesis and nitrogen metabolism; Probiotic/Food Relevance: Enhances amino acid availability, contributing to flavor development and metabolic versatility during fermentation."
COA-PWY,"Function: Synthesizes coenzyme A from pantothenate through a multi-step enzymatic process; Role in LAB: Provides essential coenzyme A for fatty acid metabolism and energy production; Probiotic/Food Relevance: Supports metabolic activities critical for growth and fermentation, influencing microbial vitality and product quality."
DTDPRHAMSYN-PWY,"Function: Catalyzes the biosynthesis of dTDP-L-rhamnose, a sugar nucleotide used in cell wall and surface polysaccharide formation; Role in LAB: Supports cell wall integrity and surface structure, aiding in bacterial protection and interaction with the environment; Probiotic/Food Relevance: Influences bacterial robustness and adhesion, affecting fermentation stability and probiotic colonization."
GALACTUROCAT-PWY,"Function: Hydrolyzes and metabolizes D-galacturonate into central metabolites for energy production; Role in LAB: Enables utilization of plant-derived pectin components as carbon sources, supporting growth in plant-associated environments; Probiotic/Food Relevance: Enhances breakdown of dietary fibers during fermentation, improving texture and nutritional properties of fermented foods."
PEPTIDOGLYCANSYN-PWY,"Function: Synthesizes peptidoglycan precursors containing meso-diaminopimelate for bacterial cell wall formation; Role in LAB: Ensures cell wall integrity and shape, supporting growth and resistance to environmental stress; Probiotic/Food Relevance: Maintains bacterial viability and stability during fermentation, contributing to texture and safety of fermented products."
VALSYN-PWY,Function: Catalyzes the biosynthesis of L-valine from pyruvate through a series of enzymatic steps; Role in LAB: Supports amino acid production for protein synthesis and metabolic balance; Probiotic/Food Relevance: Enhances flavor development and nutritional value in fermented foods by supplying essential amino acids.
PWY-6386,"Function: Synthesizes UDP-N-acetylmuramoyl-pentapeptide containing lysine, a key peptidoglycan precursor; Role in LAB: Essential for cell wall assembly and maintenance, ensuring structural integrity and survival; Probiotic/Food Relevance: Supports bacterial robustness during fermentation, impacting texture and microbial stability in food products."
PWY-6387,"Function: Synthesizes UDP-N-acetylmuramoyl-pentapeptide containing meso-diaminopimelate, a crucial peptidoglycan precursor; Role in LAB: Supports cell wall construction and integrity, enabling growth and protection against environmental stress; Probiotic/Food Relevance: Maintains bacterial viability and texture during fermentation, enhancing the quality of fermented foods."
PWY-6121,"Function: Catalyzes the synthesis of 5-aminoimidazole ribonucleotide, an intermediate in purine nucleotide biosynthesis; Role in LAB: Supports nucleotide production necessary for DNA/RNA synthesis and cellular replication; Probiotic/Food Relevance: Enhances growth and metabolic activity during fermentation, contributing to probiotic viability and stability."
PWY-6123,"Function: Catalyzes the de novo synthesis of inosine-5'-monophosphate (IMP), a precursor for purine nucleotides; Role in LAB: Enables synthesis of essential nucleotides for DNA, RNA, and energy metabolism; Probiotic/Food Relevance: Supports cell growth and replication during fermentation, enhancing probiotic efficacy and stability."
PWY-5667,"Function: Catalyzes the formation of CDP-diacylglycerol from phosphatidic acid, a key intermediate in phospholipid biosynthesis; Role in LAB: Supports membrane lipid synthesis essential for cell membrane integrity and function; Probiotic/Food Relevance: Maintains cell viability and resilience during fermentation, impacting microbial stability and product quality."
PWY-5100,"Function: Converts pyruvate into acetate and lactate, generating ATP through substrate-level phosphorylation; Role in LAB: Enables energy production under anaerobic conditions, supporting growth and metabolic flexibility; Probiotic/Food Relevance: Contributes to acidification and flavor development in fermented foods, enhancing preservation and sensory qualities."
PWY-6609,"Function: Salvages adenine and adenosine to synthesize AMP, recycling purine bases for nucleotide metabolism; Role in LAB: Conserves energy by recycling nucleotides, supporting DNA/RNA synthesis and cellular growth; Probiotic/Food Relevance: Enhances metabolic efficiency and survival during fermentation and gut colonization."
PWY-7219,"Function: Synthesizes adenosine ribonucleotides de novo from basic precursors for nucleotide production; Role in LAB: Provides essential nucleotides for DNA, RNA, and energy metabolism, supporting growth and replication; Probiotic/Food Relevance: Enhances probiotic proliferation and metabolic activity during fermentation and gut colonization."
PWY-7242,"Function: Breaks down D-fructuronate into central metabolites for energy production; Role in LAB: Enables utilization of plant-derived uronic acids as carbon sources, supporting growth in plant-associated environments; Probiotic/Food Relevance: Enhances degradation of dietary fibers during fermentation, improving texture and nutritional value of fermented foods."
PWY0-1319,"Function: Catalyzes the synthesis of CDP-diacylglycerol from phosphatidic acid, a precursor for membrane phospholipid biosynthesis; Role in LAB: Supports cell membrane formation and maintenance, essential for cellular integrity and function; Probiotic/Food Relevance: Maintains bacterial viability and resilience during fermentation, influencing microbial stability and food quality."
PWY0-1298,"Function: Degrades pyrimidine deoxyribonucleosides into smaller metabolites for recycling or energy; Role in LAB: Enables nucleotide salvage and resource efficiency, supporting survival under nutrient-limited conditions; Probiotic/Food Relevance: Enhances metabolic flexibility during fermentation and gut colonization, contributing to bacterial persistence."
PWY0-1297,"Function: Breaks down purine deoxyribonucleosides into metabolites for energy production and nucleotide recycling; Role in LAB: Supports nucleotide salvage pathways, aiding survival and growth under nutrient stress; Probiotic/Food Relevance: Enhances metabolic adaptability during fermentation and gut colonization, promoting bacterial persistence."
PWY0-1296,"Function: Catalyzes the degradation of purine ribonucleosides into nitrogenous bases and sugars for recycling and energy; Role in LAB: Supports nucleotide salvage and energy metabolism, enhancing survival under nutrient-limited conditions; Probiotic/Food Relevance: Improves metabolic flexibility during fermentation and gut colonization, aiding probiotic persistence."
PWY0-1061,Function: Catalyzes the synthesis of L-alanine from pyruvate through transamination reactions; Role in LAB: Supports amino acid biosynthesis for protein production and metabolic balance; Probiotic/Food Relevance: Contributes to flavor development and nutritional quality in fermented foods.
UDPNAGSYN-PWY,"Function: Synthesizes UDP-N-acetyl-D-glucosamine, a key precursor for peptidoglycan and cell wall biosynthesis; Role in LAB: Essential for cell wall formation and maintenance, supporting bacterial growth and integrity; Probiotic/Food Relevance: Maintains bacterial viability during fermentation, influencing texture and safety of fermented products."
P124-PWY,"Function: Converts hexose sugars into acetate and lactate via the fructose-6-phosphate phosphoketolase pathway; Role in LAB: Provides an efficient energy-generating route, enhancing carbohydrate metabolism and growth; Probiotic/Food Relevance: Produces short-chain fatty acids that influence gut health, flavor, and texture in fermented foods."
ANAEROFRUCAT-PWY,"Function: Converts glucose to lactate through homolactic fermentation, generating ATP and regenerating NAD+; Role in LAB: Supports anaerobic energy production, crucial for growth in oxygen-limited environments; Probiotic/Food Relevance: Contributes to acidification during fermentation, influencing flavor, preservation, and texture of fermented foods."
GLYCOLYSIS,"Function: Converts glucose 6-phosphate into pyruvate, generating ATP and NADH in the process; Role in LAB: Facilitates anaerobic energy production and glycolysis, supporting growth and metabolism; Probiotic/Food Relevance: Drives fermentation, contributing to acid production, flavor development, and preservation in fermented foods."
PWY-5484,"Function: Converts fructose 6-phosphate to pyruvate, generating ATP and NADH through glycolytic enzymes; Role in LAB: Provides energy via fermentation, supporting growth in anaerobic conditions; Probiotic/Food Relevance: Contributes to acid production and flavor development during fermentation, affecting the texture and preservation of fermented foods."
OANTIGEN-PWY,"Function: Synthesizes the building blocks for O-antigen, a component of lipopolysaccharides, which is important for bacterial surface structures; Role in LAB: Contributes to cell surface integrity, enhancing bacterial resistance and interaction with the host environment; Probiotic/Food Relevance: May influence bacterial adhesion and persistence in the gut, impacting probiotic stability and functionality."
PWY-5840,"Function: Synthesizes menaquinol-7, a form of vitamin K2, through a multi-step biosynthetic pathway; Role in LAB: Essential for electron transport in cellular respiration, supporting energy production; Probiotic/Food Relevance: Contributes to the nutritional value of fermented foods by producing menaquinol-7, which is beneficial for bone health and cardiovascular function."
PWY-5910,"Function: Synthesizes geranylgeranyldiphosphate (GGPP) from mevalonate, a key intermediate in the biosynthesis of isoprenoids; Role in LAB: Supports the production of isoprenoid compounds, which are crucial for membrane stability and protein modification; Probiotic/Food Relevance: Contributes to bacterial membrane integrity and functionality, influencing microbial viability and stability during fermentation."
DAPLYSINESYN-PWY,"Function: Catalyzes the biosynthesis of L-lysine from aspartate through a multi-step pathway; Role in LAB: Supports the production of L-lysine, an essential amino acid for protein synthesis and metabolic functions; Probiotic/Food Relevance: Enhances amino acid availability during fermentation, contributing to nutritional value and flavor development in fermented foods."
ARGSYN-PWY,"Function: Synthesizes L-arginine from L-ornithine via a series of enzymatic reactions; Role in LAB: Supports the production of L-arginine, which is important for protein synthesis, nitrogen metabolism, and cellular growth; Probiotic/Food Relevance: Contributes to amino acid availability during fermentation, enhancing nutritional value and microbial activity in fermented foods."
RIBOSYN2-PWY,"Function: Synthesizes flavins, such as riboflavin (vitamin B2), through a series of biosynthetic steps; Role in LAB: Provides essential cofactors for various metabolic enzymes, supporting energy production and redox reactions; Probiotic/Food Relevance: Enhances nutritional value by contributing to riboflavin content in fermented foods, which is important for cellular function and health."
ARO-PWY,"Function: Synthesizes chorismate, a precursor for aromatic amino acid biosynthesis, including phenylalanine, tyrosine, and tryptophan; Role in LAB: Supports the production of essential aromatic amino acids necessary for protein synthesis and metabolic functions; Probiotic/Food Relevance: Contributes to amino acid availability during fermentation, impacting nutritional content and flavor development in fermented foods."
PWY-7229,"Function: Synthesizes adenosine nucleotides (AMP, ADP, ATP) de novo from simple precursors like ribose-5-phosphate and amino acids; Role in LAB: Provides essential nucleotides for DNA, RNA, and energy metabolism, supporting growth and replication; Probiotic/Food Relevance: Enhances microbial activity and stability during fermentation, promoting probiotic functionality and product quality."
PWY-6471,"Function: Synthesizes peptidoglycan, a key component of the bacterial cell wall, through a series of enzymatic steps; Role in LAB: Essential for maintaining cell wall integrity, growth, and protection against osmotic stress; Probiotic/Food Relevance: Supports bacterial viability during fermentation, influencing the texture, safety, and stability of fermented food products."
PWY-6126,"Function: Synthesizes adenosine nucleotides (AMP, ADP, ATP) de novo from basic precursors like ribose-5-phosphate and amino acids; Role in LAB: Provides critical nucleotides for DNA, RNA, and energy metabolism, supporting cellular growth and replication; Probiotic/Food Relevance: Promotes microbial activity and stability during fermentation, enhancing probiotic function and food quality."
PWY-922,"Function: Synthesizes isoprenoids, including sterols and other vital compounds, from acetyl-CoA through the mevalonate pathway; Role in LAB: Supports the production of essential isoprenoids for membrane stability and cellular processes; Probiotic/Food Relevance: Contributes to bacterial membrane integrity, affecting the viability and stability of probiotics during fermentation and in the gut."
PWY-5837,"Function: Synthesizes 1,4-dihydroxy-2-naphthoate, a precursor for menaquinone (vitamin K2) biosynthesis; Role in LAB: Essential for the production of menaquinone, which plays a key role in electron transport and redox reactions; Probiotic/Food Relevance: Enhances the nutritional profile of fermented foods by contributing to vitamin K2 content, which is important for bone and cardiovascular health."
PWY-5097,"Function: Synthesizes L-lysine from aspartate via the diaminopimelate pathway; Role in LAB: Produces L-lysine, an essential amino acid for protein synthesis, cellular growth, and metabolism; Probiotic/Food Relevance: Increases the amino acid content in fermented foods, contributing to their nutritional value and supporting microbial growth during fermentation."
PWY-7234,"Function: Synthesizes inosine-5'-monophosphate (IMP) from precursor molecules, a key intermediate in purine nucleotide biosynthesis; Role in LAB: Provides essential purine nucleotides for DNA and RNA synthesis, supporting cellular replication and growth; Probiotic/Food Relevance: Enhances microbial activity during fermentation, contributing to the stability and vitality of probiotics in food products."
PWY4FS-8,"Function: Synthesizes phosphatidylglycerol, a crucial component of bacterial cell membranes, from glycerol-3-phosphate; Role in LAB: Essential for maintaining cell membrane integrity and function, supporting growth and environmental stress resistance; Probiotic/Food Relevance: Contributes to the stability and viability of probiotics during fermentation, affecting cell membrane function and overall fermentation performance."
THRESYN-PWY,"Function: Catalyzes the biosynthesis of L-threonine from aspartate via several enzymatic steps; Role in LAB: Supports the production of L-threonine, an essential amino acid involved in protein synthesis and metabolism; Probiotic/Food Relevance: Enhances amino acid availability during fermentation, improving nutritional content and microbial growth in fermented foods."
PWY-6163,"Function: Synthesizes chorismate from 3-dehydroquinate, a precursor for aromatic amino acid biosynthesis (phenylalanine, tyrosine, tryptophan); Role in LAB: Supports the production of aromatic amino acids necessary for protein synthesis and metabolic functions; Probiotic/Food Relevance: Contributes to amino acid availability during fermentation, influencing the flavor and nutritional profile of fermented foods."
PWY-5686,"Function: Catalyzes the biosynthesis of uridine monophosphate (UMP), a precursor for pyrimidine nucleotides like UDP, UTP, and CTP; Role in LAB: Essential for nucleotide synthesis, supporting DNA, RNA, and energy metabolism; Probiotic/Food Relevance: Enhances microbial growth and stability during fermentation, contributing to the overall quality and vitality of probiotics in fermented foods."
PWY-6317,"Function: Degrades galactose through the Leloir pathway, converting it into glucose-6-phosphate for entry into glycolysis; Role in LAB: Utilizes galactose as a carbon source for energy production and growth; Probiotic/Food Relevance: Contributes to the breakdown of lactose and other galactose-containing substrates during fermentation, affecting flavor and texture of dairy and other fermented foods."
PWY4FS-7,"Function: Synthesizes phosphatidylglycerol, an important phospholipid component of cell membranes, from glycerol-3-phosphate; Role in LAB: Essential for maintaining cell membrane structure and function, supporting bacterial growth and stability; Probiotic/Food Relevance: Contributes to bacterial resilience during fermentation, enhancing probiotic survival and fermentation performance."
PWY-7199,"Function: Salvages pyrimidine deoxyribonucleosides (such as thymidine and deoxycytidine) to regenerate nucleotides for DNA synthesis; Role in LAB: Enhances nucleotide recycling, supporting efficient growth and DNA replication; Probiotic/Food Relevance: Contributes to metabolic efficiency during fermentation, promoting bacterial persistence and stability in fermented food products."
PWY-7111,"Function: Converts pyruvate to isobutanol through engineered fermentation pathways, generating ATP and reducing equivalents; Role in LAB: Provides an alternative metabolic route for energy production and carbon utilization, supporting growth in engineered strains; Probiotic/Food Relevance: Can be used in bioengineering for the production of isobutanol, which may have applications in biofuels or flavor compound production during fermentation."
PWY0-1261,"Function: Recovers and recycles anhydromuropeptides, components of peptidoglycan degradation products, for reuse in cell wall biosynthesis; Role in LAB: Supports the recycling of cell wall material, conserving resources and promoting cell wall integrity; Probiotic/Food Relevance: Enhances bacterial viability and sustainability during fermentation, contributing to the stability and quality of fermented products."
PWY-6122,"Function: Catalyzes the formation of 5-aminoimidazole ribonucleotide, an intermediate in the purine biosynthesis pathway, essential for nucleotide and nucleic acid production; Role in LAB: Supports nucleotide biosynthesis required for DNA, RNA, and energy metabolism, aiding in growth and replication; Probiotic/Food Relevance: Contributes to optimal bacterial proliferation and metabolic activity during fermentation, enhancing culture performance and product consistency."
PWY-5973,"Function: Involved in the synthesis of cis-vaccenate, a monounsaturated fatty acid that contributes to membrane lipid composition; Role in LAB: Maintains membrane fluidity and integrity, aiding in stress tolerance and adaptation to varying environmental conditions; Probiotic/Food Relevance: Enhances bacterial resilience and survival during fermentation and storage, improving the stability and quality of fermented products."
PWY-621,"Function: Catalyzes the hydrolysis of sucrose into glucose and fructose, providing readily utilizable carbon sources for cellular metabolism; Role in LAB: Supports efficient carbohydrate utilization and energy production, promoting growth under sucrose-rich conditions; Probiotic/Food Relevance: Enhances fermentation efficiency and flavor development in sucrose-containing foods, contributing to improved texture and product quality."
PWY-5897,"Function: Involved in the biosynthesis of menaquinol-11 (vitamin K2 variant), a key electron carrier in the respiratory chain that supports cellular energy metabolism; Role in LAB: Enhances electron transport and redox balance, supporting efficient energy generation under varying oxygen conditions; Probiotic/Food Relevance: Contributes to the production of vitamin K2 with potential health benefits and supports robust bacterial activity during fermentation, improving nutritional value and product quality."
PWY-5899,"Function: Participates in the biosynthesis of menaquinol-13, a form of vitamin K2 that functions as an essential electron carrier in cellular respiration; Role in LAB: Supports redox balance and energy metabolism, enhancing adaptability and growth under fluctuating environmental conditions; Probiotic/Food Relevance: Promotes vitamin K2 enrichment in fermented foods and improves bacterial viability and performance, contributing to the nutritional and functional quality of the final product."
PWY-5898,"Function: Responsible for the biosynthesis of menaquinol-12, a vitamin K2 derivative that plays a vital role in electron transport and cellular respiration; Role in LAB: Enhances energy metabolism and redox stability, supporting cell growth and survival under both aerobic and anaerobic conditions; Probiotic/Food Relevance: Contributes to vitamin K2 accumulation in fermented foods and strengthens bacterial vitality, improving the health benefits and consistency of the final product."
NONOXIPENT-PWY,"Function: Facilitates the interconversion of sugars in the non-oxidative branch of the pentose phosphate pathway, generating precursors for nucleotide and amino acid biosynthesis; Role in LAB: Supports anabolic processes by providing ribose-5-phosphate and other sugar phosphates essential for growth and metabolism; Probiotic/Food Relevance: Enhances metabolic flexibility and biosynthetic capacity during fermentation, improving bacterial performance and the nutritional quality of fermented products."
FASYN-ELONG-PWY,"Function: Catalyzes the elongation of saturated fatty acids, extending the carbon chain length to produce long-chain fatty acids; Role in LAB: Maintains membrane lipid composition and fluidity, essential for cell membrane integrity and function; Probiotic/Food Relevance: Supports bacterial adaptation to environmental stresses during fermentation, contributing to product stability and texture."
GLUTORN-PWY,"Function: Synthesizes L-ornithine, a key intermediate in the urea cycle and precursor for polyamine production; Role in LAB: Supports cellular growth and stress response by contributing to amino acid and polyamine metabolism; Probiotic/Food Relevance: Enhances bacterial robustness and fermentation performance, potentially improving the flavor and nutritional profile of fermented foods."
GLYCOGENSYNTH-PWY,"Function: Catalyzes the synthesis of glycogen from ADP-D-glucose, enabling energy storage in the form of polysaccharides; Role in LAB: Provides an energy reserve that supports survival during nutrient limitation and environmental stress; Probiotic/Food Relevance: Enhances bacterial endurance and stability during fermentation and storage, contributing to consistent product quality."
POLYISOPRENSYN-PWY,"Function: Involved in the biosynthesis of polyisoprenoids, essential lipid carriers for the assembly of peptidoglycan and other cell wall components; Role in LAB: Supports cell wall synthesis and maintenance, promoting structural integrity and proper cell function; Probiotic/Food Relevance: Enhances bacterial viability and robustness during fermentation, contributing to the quality and stability of fermented products."
P161-PWY,"Function: Catalyzes the breakdown of acetylene, allowing the utilization of this compound as a carbon and energy source; Role in LAB: Enables adaptation to environments containing acetylene by providing an alternative metabolic pathway; Probiotic/Food Relevance: May support bacterial survival and metabolic versatility during fermentation processes, potentially influencing flavor and product characteristics."
PWY-6277,"Function: Catalyzes the multi-step synthesis of 5-aminoimidazole ribonucleotide, a key intermediate in purine nucleotide biosynthesis; Role in LAB: Supports nucleotide production necessary for DNA, RNA synthesis, and energy metabolism, facilitating growth and replication; Probiotic/Food Relevance: Enhances bacterial proliferation and metabolic activity during fermentation, contributing to culture robustness and product quality."
PWY-7400,
PWY-6470,
PWY-7663,
SER-GLYSYN-PWY,
PWY-7208,
PWY-7220,
PWY-6700,
PWY-7222,
LACTOSECAT-PWY,
PWY-7221,
GALACT-GLUCUROCAT-PWY,
PWY-2942,
PWY-6385,
GLUCUROCAT-PWY,
COMPLETE-ARO-PWY,
PWY-3001,
PWY-5104,
TRPSYN-PWY,
CALVIN-PWY,
HISTSYN-PWY,
PWY-6507,
RHAMCAT-PWY,
PWY-6151,
BRANCHED-CHAIN-AA-SYN-PWY,
PWY-5103,
ILEUSYN-PWY,
PWY-5863,
