ec_number,Description,,,,,,,,,,,,,
EC:3.6.4.12,"Function: Unwinds DNA strands using energy from ATP hydrolysis, enabling replication, repair, and recombination; Role in LAB: Maintains genome stability and supports efficient DNA replication and repair in lactic acid bacteria; Probiotic/Food Relevance: Supports LAB viability and persistence during fermentation and in gut environments by ensuring genetic integrity; Biological Pathway: Involved in DNA replication, repair, and recombination pathways, contributing to overall cellular stability and adaptation.",,,,,,,,,,,,,
EC:2.7.7.7,"Function: Synthesizes DNA using a DNA template, essential for replication and repair; Role in LAB: Maintains genome stability and supports efficient DNA replication, enabling proper growth and division of lactic acid bacteria; Probiotic/Food Relevance: Ensures LAB viability and consistency during fermentation, supporting probiotic activity and food quality; Biological Pathway: Involved in DNA replication and repair pathways, contributing to genetic fidelity and cellular stability.",,,,,,,,"map01524, map03030, map03082, map03230, map03240, map03250, map03260, map03267, map03272, map03410, map03420, map03430, map03440, map03450, map03460, map04139, map05161, map05166, map05169, map05200, map05202, map05203, map05210, map05212, map05213, map05214, map05216, map05217, map05218, map05220, map05222, map05223, map05224, map05225, map05226","Platinum drug resistance, DNA replication, ATP-dependent chromatin remodeling, Viral genome structure, Viral replication, Viral life cycle - HIV-1, Virion - Human immunodeficiency virus, Virion - Adenovirus, Virion - Hepatitis viruses, Base excision repair, Nucleotide excision repair, Mismatch repair, Homologous recombination, Non-homologous end-joining, Fanconi anemia pathway, Mitophagy - yeast, Hepatitis B, Human T-cell leukemia virus 1 infection, Epstein-Barr virus infection, Pathways in cancer, Transcriptional misregulation in cancer, Viral carcinogenesis, Colorectal cancer, Pancreatic cancer, Endometrial cancer, Glioma, Thyroid cancer, Basal cell carcinoma, Melanoma, Chronic myeloid leukemia, Small cell lung cancer, Non-small cell lung cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer",Cancer: overview; Cancer: specific types; Chromosome; Drug resistance: antineoplastic; Infectious disease: viral; Information processing in viruses; Replication and repair; Transport and catabolism,Cellular Processes; Genetic Information Processing; Human Diseases,"synthesises dna 
from dna template",no
EC:2.7.1.69,"Function: Transfers phosphate groups to specific substrates, facilitating key metabolic reactions; Role in LAB: Supports phosphorylation processes essential for carbohydrate metabolism and energy production in lactic acid bacteria; Probiotic/Food Relevance: Enhances LAB growth and metabolic activity during fermentation, contributing to efficient production and stability of fermented foods; Biological Pathway: Participates in metabolic and energy-generating pathways, linking substrate phosphorylation to overall cellular metabolism.",,,,,,,,,,,,,
EC:1.1.1.1,"Function: Catalyzes the interconversion of alcohols and aldehydes/ketones using NAD?/NADH; Role in LAB: Helps maintain redox balance and supports energy metabolism during fermentation, enabling efficient growth of lactic acid bacteria; Probiotic/Food Relevance: Contributes to flavor, aroma, and alcohol metabolism in fermented foods, enhancing quality and sensory properties; Biological Pathway: Involved in glycolysis/gluconeogenesis, pyruvate metabolism, and various amino acid and lipid metabolic pathways, linking energy and carbon metabolism in LAB.",,,,,,,,,,,,,
EC:6.3.5.5,"Function: Synthesizes carbamoyl phosphate, which helps produce amino acids and nucleotides; Role in LAB: Provides essential precursors for amino acid and nucleotide synthesis, supporting LAB growth and protein production; Probiotic/Food Relevance: Enhances fermentation efficiency and improves flavor, texture, and nutritional quality of foods; Biological Pathway: Involved in arginine biosynthesis, pyrimidine metabolism, and amino acid metabolism, linking nitrogen assimilation to essential biomolecule production.",,,,,,,,,,,,,
EC:6.4.1.2,"Function: Catalyzes the carboxylation of acetyl-CoA to malonyl-CoA, a key step in fatty acid biosynthesis; Role in LAB: Provides building blocks for lipid synthesis, supporting cell membrane formation, growth, and metabolic activity in lactic acid bacteria; Probiotic/Food Relevance: Contributes to membrane integrity and metabolic efficiency, enhancing LAB survival and functionality during fermentation and in probiotic products; Biological Pathway: Involved in fatty acid biosynthesis, pyruvate metabolism, and carbon metabolism, linking energy and lipid production in LAB.",,,,,,,,,,,,,
EC:3.6.3.21,"Function: Transports polar amino acids across cell membranes using ATP energy; Role in LAB: Supplies essential amino acids for protein synthesis and metabolic processes, supporting LAB growth and activity; Probiotic/Food Relevance: Enhances nutrient uptake during fermentation, improving LAB performance and contributing to the nutritional quality of fermented foods; Biological Pathway: Involved in ABC transporter systems and membrane transport, facilitating amino acid uptake and cellular homeostasis in LAB.",,,,,,,,,,,,,
EC:2.7.7.6,"Function: Synthesizes RNA from a DNA template, enabling transcription of genetic information; Role in LAB: Supports gene expression and protein production, essential for growth, metabolism, and adaptation in lactic acid bacteria; Probiotic/Food Relevance: Ensures active metabolism and functional activity of LAB during fermentation, contributing to consistent product quality and probiotic effects; Biological Pathway: Involved in transcription and RNA synthesis pathways, linking DNA information to protein production and cellular function in LAB.",,,,,,,,,,,,,
EC:5.99.1.3,"Function: Modifies DNA topology by ATP-dependent unwinding and rewinding, relieving supercoiling and tangling; Role in LAB: Maintains genome stability and facilitates replication, transcription, and recombination in lactic acid bacteria; Probiotic/Food Relevance: Supports LAB viability and proper gene expression during fermentation, ensuring consistent probiotic activity and product quality; Biological Pathway: Involved in DNA replication, repair, and recombination pathways, regulating DNA structure and cellular stability in LAB.",,,,,,,,,,,,,
EC:5.4.2.12,"Function: Converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis and gluconeogenesis; Role in LAB: Supports energy production and central carbon metabolism, enabling efficient growth and metabolic activity in lactic acid bacteria; Probiotic/Food Relevance: Enhances fermentation efficiency and energy availability, contributing to LAB performance and quality of fermented foods; Biological Pathway: Involved in glycolysis, gluconeogenesis, and amino acid metabolism, linking carbohydrate processing to energy and biosynthetic pathways in LAB.",,,,,,,,,,,,,
